match-id,game,tim-blue,tim-red,win,tim-win,mvp,mvp-hero,time,blue-pick-1,blue-pick-2,blue-pick-3,blue-pick-4,blue-pick-5,blue-ban-1,blue-ban-2,blue-ban-3,blue-ban-4,blue-ban-5,red-pick-1,red-pick-2,red-pick-3,red-pick-4,red-pick-5,red-ban-1,red-ban-2,red-ban-3,red-ban-4,red-ban-5
1,1,FF,DEVU,DEVU,R,KIDBOMBA,Terizla,21,Lylia,Edith,Martis,Lapu-Lapu,Beatrix,Wanwan,Arlott,Hilda,Angela,Bruno,Baxia,Terizla,Novaria,Brody,Diggie,Nolan,Guinevere,Joy,Karrie,Ixia
2,2,FF,DEVU,FF,B,ROSA,Lylia,17,Terizla,Lylia,Tigreal,Fanny,Beatrix,Wanwan,Diggie,Arlott,Lapu-Lapu,Valentina,Baxia,Bruno,Minotaur,Paquito,Faramis,Joy,Guinevere,Nolan,Ixia,Brody
3,3,DEVU,FF,DEVU,B,MAGISTOR,Nolan,11,Nolan,Faramis,Bruno,Dyrroth,Kaja,Lylia,Joy,Terizla,Fanny,Ixia,Hilda,Valentina,Khaleed,Irithel,Amon,Diggie,Guinevere,Wanwan,Arlott,Tigreal
4,4,FF,DEVU,DEVU,R,KIDBOMBA,Uranus,21,Guinevere,Novaria,Tigreal,Thamuz,Irithel,Wanwan,Arlott,Terizla,Bruno,Claude,Faramis,Nolan,Diggie,Beatrix,Uranus,Lylia,Joy,Valentina,Ixia,Lapu-Lapu
5,1,BLCK,ONIC,BLCK,B,SENSUI,Guinevere,30,Guinevere,Faramis,Bruno,Rafaela,Khaleed,Fanny,Nolan,Joy,Tigreal,Minotaur,Benedetta,Lylia,Arlott,Khufra,Claude,Fredrinn,Wanwan,Valentina,Diggie,Mathilda
6,2,BLCK,ONIC,ONIC,R,CW,Claude,23,Lylia,Bruno,Fredrinn,Mathilda,Edith,Fanny,Nolan,Joy,Tigreal,Minotaur,Dyrroth,Valentina,Claude,Khaleed,Kaja,Wanwan,Guinevere,Faramis,Diggie,Estes
7,3,BLCK,ONIC,ONIC,R,CW,Wanwan,22,Valentina,Claude,Akai,Paquito,Floryn,Fanny,Nolan,Joy,Khaleed,Arlott,Kadita,Lancelot,Minotaur,Terizla,Wanwan,Guinevere,Fredrinn,Baxia,Diggie,Phoveus
8,4,BLCK,ONIC,BLCK,B,OHEB,Claude,15,Valentina,Claude,Akai,Arlott,Minotaur,Fanny,Nolan,Joy,Kaja,Tigreal,Wanwan,Faramis,Lancelot,Mathilda,Khaleed,Guinevere,Fredrinn,Baxia,Phoveus,Hilda
9,5,BLCK,ONIC,ONIC,R,BUTSSS,Terizla,14,Lylia,Claude,Baxia,Floryn,Arlott,Fanny,Nolan,Joy,Dyrroth,Khaleed,Martis,Terizla,Valentina,Kaja,Wanwan,Guinevere,Fredrinn,Akai,Phoveus,Minotaur
10,1,APBR,SYS,APBR,B,FLAPTZY,Paquito,15,Nolan,Bruno,Arlott,Paquito,Novaria,Phoveus,Joy,Guinevere,Terizla,Tigreal,Claude,Faramis,Lancelot,Dyrroth,Kaja,Mathilda,Angela,Wanwan,Valentina,Minotaur
