Team 1 Score,Team 1 Logo,Team 1 Name,VS,Team 2 Score,Team 2 Logo,Team 2 Name,Match Date
2,https://m5.mobilelegends.com/cfind/convert/webp/thumb/images/team/m5-team-new/cover_w220_h176_m5_web_logo_220x177_apbr.png.webp,APBR,VS,0,https://m5.mobilelegends.com/cfind/convert/webp/thumb/images/team/m5-team-new/cover_w220_h176_m5_web_logo_220x177_bg_color.png.webp,BG,02 Dec 2023 14:00 GMT +8
2,https://m5.mobilelegends.com/cfind/convert/webp/thumb/images/team/m5-team-new/cover_w220_h176_m5_web_logo_220x177_bg_color.png.webp,BG,VS,0,https://m5.mobilelegends.com/cfind/convert/webp/thumb/images/team/wc-team/cover_w220_h176_m5_web_logo_220x177_lg_black.png.webp,LG,05 Dec 2023 14:00 GMT +8
2,https://m5.mobilelegends.com/cfind/convert/webp/thumb/images/team/m5-team-new/cover_w220_h176_m5_web_logo_220x177_ff_color.png.webp,FF,VS,0,https://m5.mobilelegends.com/cfind/convert/webp/thumb/images/team/wc-team/cover_w220_h176_m5_web_logo_220x177_smg_color.png.webp,SMG,02 Dec 2023 16:00 GMT +8
1,https://m5.mobilelegends.com/cfind/convert/webp/thumb/images/team/m5-team-new/cover_w220_h176_m5_web_logo_220x177_ff_color.png.webp,FF,VS,2,https://m5.mobilelegends.com/cfind/convert/webp/thumb/images/team/m5-team-new/cover_w220_h176_m5_web_logo_220x177_rrq_color.png.webp,RRQ,05 Dec 2023 16:00 GMT +8
0,https://m5.mobilelegends.com/cfind/convert/webp/thumb/images/team/m5-team-new/cover_w220_h176_m5_web_logo_220x177_geek.png.webp,GEEK,VS,2,https://m5.mobilelegends.com/cfind/convert/webp/thumb/images/team/m5-team-new/cover_w220_h176_m5_web_logo_220x177_hb.png.webp,HB,02 Dec 2023 18:00 GMT +8
2,https://m5.mobilelegends.com/cfind/convert/webp/thumb/images/team/m5-team-new/cover_w220_h176_m5_web_logo_220x177_geek.png.webp,GEEK,VS,1,https://m5.mobilelegends.com/cfind/convert/webp/thumb/images/team/m5-team-new/cover_w220_h176_m5_web_logo_220x177_devu.png.webp,DEVU,05 Dec 2023 18:00 GMT +8
2,https://m5.mobilelegends.com/cfind/convert/webp/thumb/images/team/m5-team-new/cover_w220_h176_m5_web_logo_220x177_onic_black.png.webp,ONIC,VS,0,https://m5.mobilelegends.com/cfind/convert/webp/thumb/images/team/m5-team-new/cover_w220_h176_m5_web_logo_220x177_btr_color.png.webp,BTR,02 Dec 2023 20:00 GMT +8
2,https://m5.mobilelegends.com/cfind/convert/webp/thumb/images/team/m5-team-new/cover_w220_h176_m5_web_logo_220x177_onic_black.png.webp,ONIC,VS,0,https://m5.mobilelegends.com/cfind/convert/webp/thumb/images/team/m5-team-new/cover_w220_h176_m5_web_logo_220x177_te_color.png.webp,TE,05 Dec 2023 20:00 GMT +8
2,https://m5.mobilelegends.com/cfind/convert/webp/thumb/images/team/m5-team-new/cover_w220_h176_m5_web_logo_220x177_devu.png.webp,DEVU,VS,1,https://m5.mobilelegends.com/cfind/convert/webp/thumb/images/team/m5-team-new/cover_w220_h176_m5_web_logo_220x177_tob.png.webp,TOB,03 Dec 2023 14:00 GMT +8
1,https://m5.mobilelegends.com/cfind/convert/webp/thumb/images/team/m5-team-new/cover_w220_h176_m5_web_logo_220x177_rrq_color.png.webp,RRQ,VS,2,https://m5.mobilelegends.com/cfind/convert/webp/thumb/images/team/wc-team/cover_w220_h176_m5_web_logo_220x177_smg_color.png.webp,SMG,06 Dec 2023 14:00 GMT +8
