Hero Img,Hero,Pick,Pick Rate,Ban,Ban Rate,Win Rate,Average KDA,Average Kill,Average Death,Average Assist
https://m5.mobilelegends.com/cfind/convert/webp/thumb/images/hero m5/contain_w160_h130_HERO_73_KOTAK.png.webp,Harith,3,3%,1,1%,100%,6.33,3.33,0.67,3.00
https://m5.mobilelegends.com/cfind/convert/webp/thumb/images/hero m5/contain_w160_h130_HERO_56_KOTAK.png.webp,Gusion,2,2%,0,0%,100%,9.50,7.00,0.50,2.50
https://m5.mobilelegends.com/cfind/convert/webp/thumb/images/hero m5/contain_w160_h130_HERO_14_KOTAK.png.webp,Rafaela,7,6%,1,1%,86%,7.36,0.43,1.29,9.00
https://m5.mobilelegends.com/cfind/convert/webp/thumb/images/hero m5/contain_w160_h130_HERO_104_KOTAK.png.webp,Gloo,5,4%,2,2%,80%,4.37,1.00,2.40,8.00
https://m5.mobilelegends.com/cfind/convert/webp/thumb/images/hero m5/contain_w160_h130_HERO_122_KOTAK.png.webp,Nolan,22,19%,92,80%,77%,7.16,3.68,1.09,5.41
https://m5.mobilelegends.com/cfind/convert/webp/thumb/images/hero m5/contain_w160_h130_HERO_34_KOTAK.png.webp,Estes,4,3%,2,2%,75%,5.46,1.00,1.50,7.00
https://m5.mobilelegends.com/cfind/convert/webp/thumb/images/hero m5/contain_w160_h130_HERO_48_KOTAK.png.webp,Diggie,7,6%,29,25%,71%,6.31,1.29,2.29,10.43
https://m5.mobilelegends.com/cfind/convert/webp/thumb/images/hero m5/contain_w160_h130_HERO_97_KOTAK.png.webp,Benedetta,7,6%,5,4%,71%,2.58,1.29,2.71,3.86
https://m5.mobilelegends.com/cfind/convert/webp/thumb/images/hero m5/contain_w160_h130_HERO_23_KOTAK.png.webp,Gord,10,9%,2,2%,70%,8.20,2.90,1.10,7.00
https://m5.mobilelegends.com/cfind/convert/webp/thumb/images/hero m5/contain_w160_h130_HERO_67_KOTAK.png.webp,Leomord,3,3%,1,1%,67%,8.92,5.00,1.33,4.67
https://m5.mobilelegends.com/cfind/convert/webp/thumb/images/hero m5/contain_w160_h130_HERO_101_KOTAK.png.webp,Yve,3,3%,0,0%,67%,9.89,4.00,1.67,7.00
https://m5.mobilelegends.com/cfind/convert/webp/thumb/images/hero m5/contain_w160_h130_HERO_98_KOTAK.png.webp,Khaleed,22,19%,31,27%,64%,3.44,3.05,2.59,4.23
https://m5.mobilelegends.com/cfind/convert/webp/thumb/images/hero m5/contain_w160_h130_HERO_29_KOTAK.png.webp,Ruby,13,11%,6,5%,62%,3.87,0.69,3.15,9.08
https://m5.mobilelegends.com/cfind/convert/webp/thumb/images/hero m5/contain_w160_h130_HERO_111_KOTAK.png.webp,Edith,17,15%,12,10%,59%,4.60,1.88,1.88,5.29
https://m5.mobilelegends.com/cfind/convert/webp/thumb/images/hero m5/contain_w160_h130_HERO_117_KOTAK.png.webp,Fredrinn,33,29%,8,7%,58%,4.94,1.82,2.00,5.55
https://m5.mobilelegends.com/cfind/convert/webp/thumb/images/hero m5/contain_w160_h130_HERO_40_KOTAK.png.webp,Karrie,12,10%,2,2%,58%,5.04,3.17,1.25,2.67
https://m5.mobilelegends.com/cfind/convert/webp/thumb/images/hero m5/contain_w160_h130_HERO_6_KOTAK.png.webp,Tigreal,23,20%,17,15%,57%,3.73,0.61,3.00,6.74
https://m5.mobilelegends.com/cfind/convert/webp/thumb/images/hero m5/contain_w160_h130_HERO_80_KOTAK.png.webp,Guinevere,40,35%,74,64%,55%,5.97,2.28,2.18,6.93
