Player Img,Player Name,Role,Matches Played,Total Kills,KDA Ratio,Total Assists,Average Kills,Total Deaths,Average Deaths,Average Assists,Win Rate
https://m5.mobilelegends.com/cfind/convert/webp/thumb/images/player/m5-player/ap-bren/new/cover_w368_h460_crop-poto_supermarco.png.webp,SuperMarco,Gold Laner,27,101,3.74,20,0.74,102,3.78,10.20,60%
https://m5.mobilelegends.com/cfind/convert/webp/thumb/images/player/m5-player/ap-bren/new/cover_w368_h460_crop-poto_kyletzy.png.webp,KyleTzy,Jungler,27,76,2.81,39,1.44,153,5.67,5.90,75%
https://m5.mobilelegends.com/cfind/convert/webp/thumb/images/player/m5-player/ap-bren/new/cover_w368_h460_crop-poto_flaptzy.png.webp,FlapTzy,EXP Laner,27,64,2.37,64,2.37,121,4.48,2.90,58%
https://m5.mobilelegends.com/cfind/convert/webp/thumb/images/player/m5-player/ap-bren/new/cover_w368_h460_crop-poto_pheww.png.webp,Pheww,Mid Laner,27,49,1.81,35,1.30,202,7.48,7.20,78%
https://m5.mobilelegends.com/cfind/convert/webp/thumb/images/player/m5-player/ap-bren/new/cover_w368_h460_crop-poto_owgwen.png.webp,Owgwen,Roamer,27,31,1.15,45,1.67,217,8.04,5.50,79%
https://m5.mobilelegends.com/cfind/convert/webp/thumb/images/player/m5-player/blck/new/cover_w368_h460_crop-poto_oheb.png.webp,Oheb,Gold Laner,26,86,3.31,45,1.73,98,3.77,4.10,79%
https://m5.mobilelegends.com/cfind/convert/webp/thumb/images/player/m5-player/blck/new/cover_w368_h460_crop-poto_yue.png.webp,Yue,Mid Laner,26,48,1.85,45,1.73,143,5.50,4.20,83%
https://m5.mobilelegends.com/cfind/convert/webp/thumb/images/player/m5-player/blck/new/cover_w368_h460_crop-poto_edward.png.webp,Edward,EXP Laner,26,44,1.69,57,2.19,107,4.12,2.60,65%
https://m5.mobilelegends.com/cfind/convert/webp/thumb/images/player/m5-player/blck/new/cover_w368_h460_crop-poto_sensui.png.webp,Sensui,Jungler,26,36,1.38,38,1.46,124,4.77,4.20,70%
https://m5.mobilelegends.com/cfind/convert/webp/thumb/images/player/m5-player/blck/new/cover_w368_h460_crop-poto_ranejay.png.webp,Renejay,Roamer,26,22,0.85,46,1.77,172,6.62,4.20,77%
