Team 1 Score,Team 1 Logo,Team 1 Name,VS,Team 2 Score,Team 2 Logo,Team 2 Name,Match Date
1,https://m5.mobilelegends.com/cfind/convert/webp/thumb/images/team/m5-team-new/cover_w220_h176_m5_web_logo_220x177_ff_color.png.webp,FF,VS,3,https://m5.mobilelegends.com/cfind/convert/webp/thumb/images/team/m5-team-new/cover_w220_h176_m5_web_logo_220x177_devu.png.webp,DEVU,09 Dec 2023 14:00 GMT +8
3,https://m5.mobilelegends.com/cfind/convert/webp/thumb/images/team/m5-team-new/cover_w220_h176_m5_web_logo_220x177_apbr.png.webp,APBR,VS,1,https://m5.mobilelegends.com/cfind/convert/webp/thumb/images/team/m5-team-new/cover_w220_h176_m5_web_logo_220x177_geek.png.webp,GEEK,12 Dec 2023 18:00 GMT +8
3,https://m5.mobilelegends.com/cfind/convert/webp/thumb/images/team/m5-team-new/cover_w220_h176_m5_web_logo_220x177_onic_black.png.webp,ONIC,VS,2,https://m5.mobilelegends.com/cfind/convert/webp/thumb/images/team/m5-team-new/cover_w220_h176_m5_web_logo_220x177_blck_black.png.webp,BLCK,09 Dec 2023 18:00 GMT +8
1,https://m5.mobilelegends.com/cfind/convert/webp/thumb/images/team/m5-team-new/cover_w220_h176_m5_web_logo_220x177_geek.png.webp,GEEK,VS,3,https://m5.mobilelegends.com/cfind/convert/webp/thumb/images/team/m5-team-new/cover_w220_h176_m5_web_logo_220x177_blck_black.png.webp,BLCK,15 Dec 2023 14:00 GMT +8
3,https://m5.mobilelegends.com/cfind/convert/webp/thumb/images/team/m5-team-new/cover_w220_h176_m5_web_logo_220x177_apbr.png.webp,APBR,VS,1,https://m5.mobilelegends.com/cfind/convert/webp/thumb/images/team/m5-team-new/cover_w220_h176_m5_web_logo_220x177_sys.png.webp,SYS,10 Dec 2023 14:00 GMT +8
3,https://m5.mobilelegends.com/cfind/convert/webp/thumb/images/team/m5-team-new/cover_w220_h176_m5_web_logo_220x177_devu.png.webp,DEVU,VS,2,https://m5.mobilelegends.com/cfind/convert/webp/thumb/images/team/m5-team-new/cover_w220_h176_m5_web_logo_220x177_sys.png.webp,SYS,15 Dec 2023 18:00 GMT +8
3,https://m5.mobilelegends.com/cfind/convert/webp/thumb/images/team/m5-team-new/cover_w220_h176_m5_web_logo_220x177_geek.png.webp,GEEK,VS,2,https://m5.mobilelegends.com/cfind/convert/webp/thumb/images/team/m5-team-new/cover_w220_h176_m5_web_logo_220x177_bg_color.png.webp,BG,10 Dec 2023 18:00 GMT +8
3,https://m5.mobilelegends.com/cfind/convert/webp/thumb/images/team/m5-team-new/cover_w220_h176_m5_web_logo_220x177_blck_black.png.webp,BLCK,VS,0,https://m5.mobilelegends.com/cfind/convert/webp/thumb/images/team/m5-team-new/cover_w220_h176_m5_web_logo_220x177_devu.png.webp,DEVU,16 Dec 2023 11:00 GMT +8
1,https://m5.mobilelegends.com/cfind/convert/webp/thumb/images/team/m5-team-new/cover_w220_h176_m5_web_logo_220x177_ff_color.png.webp,FF,VS,3,https://m5.mobilelegends.com/cfind/convert/webp/thumb/images/team/m5-team-new/cover_w220_h176_m5_web_logo_220x177_blck_black.png.webp,BLCK,11 Dec 2023 14:00 GMT +8
3,https://m5.mobilelegends.com/cfind/convert/webp/thumb/images/team/m5-team-new/cover_w220_h176_m5_web_logo_220x177_onic_black.png.webp,ONIC,VS,0,https://m5.mobilelegends.com/cfind/convert/webp/thumb/images/team/m5-team-new/cover_w220_h176_m5_web_logo_220x177_apbr.png.webp,APBR,16 Dec 2023 15:00 GMT +8
