Team Name,Team Logo,Kills,Deaths,Assists,Gold,Damage,Lords,Tortoise,Tower
AP.Bren,https://m5.mobilelegends.com/cfind/source/thumb/images/team/m5-team-new/cover_w220_h176_m5_web_logo_220x177_apbr.png,321,203,795,"1,460,242","5,945,780",42,48,199
DeusVult,https://m5.mobilelegends.com/cfind/source/thumb/images/team/m5-team-new/cover_w220_h176_m5_web_logo_220x177_devu.png,299,326,810,"1,364,142","6,394,778",30,22,134
ONIC,https://m5.mobilelegends.com/cfind/source/thumb/images/team/m5-team-new/cover_w220_h176_m5_web_logo_220x177_onic.png,295,220,778,"1,342,188","5,651,474",38,36,158
Blacklist International,https://m5.mobilelegends.com/cfind/source/thumb/images/team/m5-team-new/cover_w220_h176_m5_web_logo_220x177_blck_white.png,236,231,644,"1,338,646","4,893,244",33,27,166
Geek Fam,https://m5.mobilelegends.com/cfind/source/thumb/images/team/m5-team-new/cover_w220_h176_m5_web_logo_220x177_geek.png,225,246,560,"1,107,511","4,767,592",25,43,118
See You Soon,https://m5.mobilelegends.com/cfind/source/thumb/images/team/m5-team-new/cover_w220_h176_m5_web_logo_220x177_sys.png,219,204,541,"837,164","3,162,502",20,27,92
Burmese Ghouls,https://m5.mobilelegends.com/cfind/source/thumb/images/team/m5-team-new/cover_w220_h176_m5_web_logo_220x177_bg_color.png,175,194,442,"769,990","3,299,154",13,15,66
Fire Flux Esports,https://m5.mobilelegends.com/cfind/source/thumb/images/team/m5-team-new/cover_w220_h176_m5_web_logo_220x177_ff_color.png,140,153,335,"800,900","3,119,749",16,28,79
HomeBois,https://m5.mobilelegends.com/cfind/source/thumb/images/team/m5-team-new/cover_w220_h176_m5_web_logo_220x177_hb.png,109,141,280,"544,187","2,276,723",14,13,52
TheOhioBrothers,https://m5.mobilelegends.com/cfind/source/thumb/images/team/m5-team-new/cover_w220_h176_m5_web_logo_220x177_tob.png,91,80,259,"468,669","2,035,284",8,10,51
Team SMG,https://m5.mobilelegends.com/cfind/source/thumb/images/team/wc-team/cover_w220_h176_m5_web_logo_220x177_smg_color.png,77,92,206,"458,861","1,985,503",9,8,42
RRQ Akira,https://m5.mobilelegends.com/cfind/source/thumb/images/team/m5-team-new/cover_w220_h176_m5_web_logo_220x177_rrq_color.png,75,71,186,"434,009","1,852,531",11,14,44
Team Flash,https://m5.mobilelegends.com/cfind/source/thumb/images/team/m5-team-new/cover_w220_h176_m5_web_logo_220x177_fl_white.png,72,76,163,"394,215","1,258,386",9,11,49
Triple Esports,https://m5.mobilelegends.com/cfind/source/thumb/images/team/m5-team-new/cover_w220_h176_m5_web_logo_220x177_te_color.png,70,96,171,"364,023","1,420,063",7,14,37
Team Lilgun,https://m5.mobilelegends.com/cfind/source/thumb/images/team/wc-team/cover_w220_h176_m5_web_logo_220x177_lg_white.png,51,70,139,"315,791","1,064,306",8,12,28
Bigetron Sons,https://m5.mobilelegends.com/cfind/source/thumb/images/team/m5-team-new/cover_w220_h176_m5_web_logo_220x177_btr_color.png,42,95,99,"296,511","1,120,609",3,2,18
